	trial_type	block_num	trialID	shape	colour	direction	istarget	start_loc	target_position	accuracy_or_button	unique_ID	block_num_mod	trial_type_mod	shape_mod	colour_mod	direction_mod	start_loc_mod	istarget_mod	accuracy_or_button_mod	condition_name
0	1	6	132	2	2	1	1	4	17	1	612211104	block6_	disappearance_	shape2_	white_	clockwise_	loc4_	istarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_istarget_correct_or_pressloc4_
1	1	6	117	2	1	2	0	1	0	1	612120101	block6_	disappearance_	shape2_	black_	counterclockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc1_
2	1	6	132	2	2	1	0	4	0	1	612210104	block6_	disappearance_	shape2_	white_	clockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc4_
3	1	6	125	2	2	2	0	1	0	1	612220101	block6_	disappearance_	shape2_	white_	counterclockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc1_
4	1	6	112	1	2	2	1	4	16	1	611221104	block6_	disappearance_	shape1_	white_	counterclockwise_	loc4_	istarget_	correct_or_press	block6_disappearance_shape1_white_counterclockwise_istarget_correct_or_pressloc4_
5	1	6	128	2	2	2	0	4	0	1	612220104	block6_	disappearance_	shape2_	white_	counterclockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc4_
6	1	6	109	1	2	2	0	1	0	1	611220101	block6_	disappearance_	shape1_	white_	counterclockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc1_
7	1	6	116	1	2	1	0	4	0	1	611210104	block6_	disappearance_	shape1_	white_	clockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc4_
8	1	6	115	1	2	1	0	3	0	1	611210103	block6_	disappearance_	shape1_	white_	clockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc3_
9	1	6	115	1	2	1	0	3	0	1	611210103	block6_	disappearance_	shape1_	white_	clockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc3_
10	1	6	124	2	1	1	0	4	0	1	612110104	block6_	disappearance_	shape2_	black_	clockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc4_
11	1	6	107	1	1	1	0	3	0	1	611110103	block6_	disappearance_	shape1_	black_	clockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape1_black_clockwise_notarget_correct_or_pressloc3_
12	1	6	128	2	2	2	0	4	0	1	612220104	block6_	disappearance_	shape2_	white_	counterclockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc4_
13	1	6	123	2	1	1	1	3	15	1	612111103	block6_	disappearance_	shape2_	black_	clockwise_	loc3_	istarget_	correct_or_press	block6_disappearance_shape2_black_clockwise_istarget_correct_or_pressloc3_
14	1	6	130	2	2	1	0	2	0	1	612210102	block6_	disappearance_	shape2_	white_	clockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc2_
15	1	6	122	2	1	1	1	2	15	1	612111102	block6_	disappearance_	shape2_	black_	clockwise_	loc2_	istarget_	correct_or_press	block6_disappearance_shape2_black_clockwise_istarget_correct_or_pressloc2_
16	1	6	119	2	1	2	0	3	0	1	612120103	block6_	disappearance_	shape2_	black_	counterclockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc3_
17	1	6	125	2	2	2	0	1	0	1	612220101	block6_	disappearance_	shape2_	white_	counterclockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc1_
18	1	6	119	2	1	2	0	3	0	1	612120103	block6_	disappearance_	shape2_	black_	counterclockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc3_
19	1	6	118	2	1	2	0	2	0	1	612120102	block6_	disappearance_	shape2_	black_	counterclockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc2_
20	1	6	132	2	2	1	1	4	10	1	612211104	block6_	disappearance_	shape2_	white_	clockwise_	loc4_	istarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_istarget_correct_or_pressloc4_
21	1	6	105	1	1	1	0	1	0	1	611110101	block6_	disappearance_	shape1_	black_	clockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape1_black_clockwise_notarget_correct_or_pressloc1_
22	1	6	129	2	2	1	0	1	0	1	612210101	block6_	disappearance_	shape2_	white_	clockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc1_
23	1	6	119	2	1	2	1	3	10	1	612121103	block6_	disappearance_	shape2_	black_	counterclockwise_	loc3_	istarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_istarget_correct_or_pressloc3_
24	1	6	113	1	2	1	0	1	0	1	611210101	block6_	disappearance_	shape1_	white_	clockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc1_
25	1	6	129	2	2	1	0	1	0	1	612210101	block6_	disappearance_	shape2_	white_	clockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc1_
26	1	6	130	2	2	1	0	2	0	1	612210102	block6_	disappearance_	shape2_	white_	clockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc2_
27	1	6	114	1	2	1	0	2	0	1	611210102	block6_	disappearance_	shape1_	white_	clockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc2_
28	1	6	112	1	2	2	0	4	0	1	611220104	block6_	disappearance_	shape1_	white_	counterclockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc4_
29	1	6	106	1	1	1	0	2	0	1	611110102	block6_	disappearance_	shape1_	black_	clockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape1_black_clockwise_notarget_correct_or_pressloc2_
30	1	6	131	2	2	1	0	3	0	1	612210103	block6_	disappearance_	shape2_	white_	clockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc3_
31	1	6	105	1	1	1	1	1	13	1	611111101	block6_	disappearance_	shape1_	black_	clockwise_	loc1_	istarget_	correct_or_press	block6_disappearance_shape1_black_clockwise_istarget_correct_or_pressloc1_
32	1	6	121	2	1	1	0	1	0	1	612110101	block6_	disappearance_	shape2_	black_	clockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc1_
33	1	6	127	2	2	2	0	3	0	1	612220103	block6_	disappearance_	shape2_	white_	counterclockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc3_
34	1	6	103	1	1	2	0	3	0	1	611120103	block6_	disappearance_	shape1_	black_	counterclockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc3_
35	1	6	125	2	2	2	1	1	15	1	612221101	block6_	disappearance_	shape2_	white_	counterclockwise_	loc1_	istarget_	correct_or_press	block6_disappearance_shape2_white_counterclockwise_istarget_correct_or_pressloc1_
36	1	6	128	2	2	2	1	4	15	1	612221104	block6_	disappearance_	shape2_	white_	counterclockwise_	loc4_	istarget_	correct_or_press	block6_disappearance_shape2_white_counterclockwise_istarget_correct_or_pressloc4_
37	1	6	122	2	1	1	0	2	0	1	612110102	block6_	disappearance_	shape2_	black_	clockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc2_
38	1	6	117	2	1	2	0	1	0	1	612120101	block6_	disappearance_	shape2_	black_	counterclockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc1_
39	1	6	111	1	2	2	0	3	0	1	611220103	block6_	disappearance_	shape1_	white_	counterclockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc3_
40	1	6	128	2	2	2	0	4	0	1	612220104	block6_	disappearance_	shape2_	white_	counterclockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc4_
41	1	6	104	1	1	2	0	4	0	1	611120104	block6_	disappearance_	shape1_	black_	counterclockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc4_
42	1	6	102	1	1	2	1	2	21	1	611121102	block6_	disappearance_	shape1_	black_	counterclockwise_	loc2_	istarget_	correct_or_press	block6_disappearance_shape1_black_counterclockwise_istarget_correct_or_pressloc2_
43	1	6	131	2	2	1	0	3	0	1	612210103	block6_	disappearance_	shape2_	white_	clockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc3_
44	1	6	117	2	1	2	1	1	13	1	612121101	block6_	disappearance_	shape2_	black_	counterclockwise_	loc1_	istarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_istarget_correct_or_pressloc1_
45	1	6	126	2	2	2	0	2	0	1	612220102	block6_	disappearance_	shape2_	white_	counterclockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc2_
46	1	6	120	2	1	2	1	4	10	1	612121104	block6_	disappearance_	shape2_	black_	counterclockwise_	loc4_	istarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_istarget_correct_or_pressloc4_
47	1	6	111	1	2	2	0	3	0	1	611220103	block6_	disappearance_	shape1_	white_	counterclockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc3_
48	1	6	104	1	1	2	0	4	0	1	611120104	block6_	disappearance_	shape1_	black_	counterclockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc4_
49	1	6	103	1	1	2	0	3	0	1	611120103	block6_	disappearance_	shape1_	black_	counterclockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc3_
50	1	6	129	2	2	1	1	1	19	1	612211101	block6_	disappearance_	shape2_	white_	clockwise_	loc1_	istarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_istarget_correct_or_pressloc1_
51	1	6	117	2	1	2	0	1	0	1	612120101	block6_	disappearance_	shape2_	black_	counterclockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc1_
52	1	6	102	1	1	2	0	2	0	1	611120102	block6_	disappearance_	shape1_	black_	counterclockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc2_
53	1	6	116	1	2	1	0	4	0	1	611210104	block6_	disappearance_	shape1_	white_	clockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc4_
54	1	6	101	1	1	2	0	1	0	1	611120101	block6_	disappearance_	shape1_	black_	counterclockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc1_
55	1	6	125	2	2	2	0	1	0	1	612220101	block6_	disappearance_	shape2_	white_	counterclockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc1_
56	1	6	111	1	2	2	0	3	0	1	611220103	block6_	disappearance_	shape1_	white_	counterclockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc3_
57	1	6	114	1	2	1	0	2	0	1	611210102	block6_	disappearance_	shape1_	white_	clockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc2_
58	1	6	122	2	1	1	0	2	0	1	612110102	block6_	disappearance_	shape2_	black_	clockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc2_
59	1	6	126	2	2	2	1	2	14	1	612221102	block6_	disappearance_	shape2_	white_	counterclockwise_	loc2_	istarget_	correct_or_press	block6_disappearance_shape2_white_counterclockwise_istarget_correct_or_pressloc2_
60	1	6	121	2	1	1	0	1	0	1	612110101	block6_	disappearance_	shape2_	black_	clockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc1_
61	1	6	114	1	2	1	0	2	0	1	611210102	block6_	disappearance_	shape1_	white_	clockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc2_
62	1	6	121	2	1	1	0	1	0	1	612110101	block6_	disappearance_	shape2_	black_	clockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc1_
63	1	6	116	1	2	1	0	4	0	1	611210104	block6_	disappearance_	shape1_	white_	clockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc4_
64	1	6	127	2	2	2	0	3	0	1	612220103	block6_	disappearance_	shape2_	white_	counterclockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc3_
65	1	6	120	2	1	2	0	4	0	1	612120104	block6_	disappearance_	shape2_	black_	counterclockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc4_
66	1	6	124	2	1	1	1	4	9	0	612111004	block6_	disappearance_	shape2_	black_	clockwise_	loc4_	istarget_	incorrect_or_nopress	block6_disappearance_shape2_black_clockwise_istarget_incorrect_or_nopressloc4_
67	1	6	108	1	1	1	0	4	0	1	611110104	block6_	disappearance_	shape1_	black_	clockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape1_black_clockwise_notarget_correct_or_pressloc4_
68	1	6	109	1	2	2	0	1	0	1	611220101	block6_	disappearance_	shape1_	white_	counterclockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc1_
69	1	6	124	2	1	1	0	4	0	1	612110104	block6_	disappearance_	shape2_	black_	clockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc4_
70	1	6	122	2	1	1	0	2	0	1	612110102	block6_	disappearance_	shape2_	black_	clockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc2_
71	1	6	123	2	1	1	0	3	0	1	612110103	block6_	disappearance_	shape2_	black_	clockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc3_
72	1	6	131	2	2	1	0	3	0	1	612210103	block6_	disappearance_	shape2_	white_	clockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc3_
73	1	6	132	2	2	1	0	4	0	1	612210104	block6_	disappearance_	shape2_	white_	clockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc4_
74	1	6	132	2	2	1	0	4	0	1	612210104	block6_	disappearance_	shape2_	white_	clockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc4_
75	1	6	120	2	1	2	0	4	0	1	612120104	block6_	disappearance_	shape2_	black_	counterclockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc4_
76	1	6	101	1	1	2	0	1	0	1	611120101	block6_	disappearance_	shape1_	black_	counterclockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc1_
77	1	6	113	1	2	1	0	1	0	1	611210101	block6_	disappearance_	shape1_	white_	clockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc1_
78	1	6	107	1	1	1	0	3	0	1	611110103	block6_	disappearance_	shape1_	black_	clockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape1_black_clockwise_notarget_correct_or_pressloc3_
79	1	6	112	1	2	2	0	4	0	1	611220104	block6_	disappearance_	shape1_	white_	counterclockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc4_
80	1	6	118	2	1	2	0	2	0	1	612120102	block6_	disappearance_	shape2_	black_	counterclockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc2_
81	1	6	120	2	1	2	0	4	0	1	612120104	block6_	disappearance_	shape2_	black_	counterclockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc4_
82	1	6	103	1	1	2	0	3	0	1	611120103	block6_	disappearance_	shape1_	black_	counterclockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc3_
83	1	6	101	1	1	2	0	1	0	1	611120101	block6_	disappearance_	shape1_	black_	counterclockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc1_
84	1	6	130	2	2	1	0	2	0	1	612210102	block6_	disappearance_	shape2_	white_	clockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc2_
85	1	6	102	1	1	2	0	2	0	1	611120102	block6_	disappearance_	shape1_	black_	counterclockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc2_
86	1	6	123	2	1	1	0	3	0	1	612110103	block6_	disappearance_	shape2_	black_	clockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc3_
87	1	6	105	1	1	1	0	1	0	1	611110101	block6_	disappearance_	shape1_	black_	clockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape1_black_clockwise_notarget_correct_or_pressloc1_
88	1	6	118	2	1	2	0	2	0	1	612120102	block6_	disappearance_	shape2_	black_	counterclockwise_	loc2_	notarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc2_
89	1	6	128	2	2	2	1	4	16	1	612221104	block6_	disappearance_	shape2_	white_	counterclockwise_	loc4_	istarget_	correct_or_press	block6_disappearance_shape2_white_counterclockwise_istarget_correct_or_pressloc4_
90	1	6	130	2	2	1	1	2	15	1	612211102	block6_	disappearance_	shape2_	white_	clockwise_	loc2_	istarget_	correct_or_press	block6_disappearance_shape2_white_clockwise_istarget_correct_or_pressloc2_
91	1	6	104	1	1	2	0	4	0	1	611120104	block6_	disappearance_	shape1_	black_	counterclockwise_	loc4_	notarget_	correct_or_press	block6_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc4_
92	1	6	119	2	1	2	0	3	0	1	612120103	block6_	disappearance_	shape2_	black_	counterclockwise_	loc3_	notarget_	correct_or_press	block6_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc3_
93	1	6	113	1	2	1	0	1	0	1	611210101	block6_	disappearance_	shape1_	white_	clockwise_	loc1_	notarget_	correct_or_press	block6_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc1_
