	trial_type	block_num	trialID	shape	colour	direction	istarget	start_loc	target_position	accuracy_or_button	unique_ID	block_num_mod	trial_type_mod	shape_mod	colour_mod	direction_mod	start_loc_mod	istarget_mod	accuracy_or_button_mod	condition_name
0	1	2	130	2	2	1	1	2	9	1	212211102	block2_	disappearance_	shape2_	white_	clockwise_	loc2_	istarget_	correct_or_press	block2_disappearance_shape2_white_clockwise_istarget_correct_or_pressloc2_
1	1	2	112	1	2	2	0	4	0	1	211220104	block2_	disappearance_	shape1_	white_	counterclockwise_	loc4_	notarget_	correct_or_press	block2_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc4_
2	1	2	115	1	2	1	0	3	0	1	211210103	block2_	disappearance_	shape1_	white_	clockwise_	loc3_	notarget_	correct_or_press	block2_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc3_
3	1	2	118	2	1	2	0	2	0	1	212120102	block2_	disappearance_	shape2_	black_	counterclockwise_	loc2_	notarget_	correct_or_press	block2_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc2_
4	1	2	108	1	1	1	0	4	0	1	211110104	block2_	disappearance_	shape1_	black_	clockwise_	loc4_	notarget_	correct_or_press	block2_disappearance_shape1_black_clockwise_notarget_correct_or_pressloc4_
5	1	2	112	1	2	2	1	4	15	1	211221104	block2_	disappearance_	shape1_	white_	counterclockwise_	loc4_	istarget_	correct_or_press	block2_disappearance_shape1_white_counterclockwise_istarget_correct_or_pressloc4_
6	1	2	121	2	1	1	0	1	0	1	212110101	block2_	disappearance_	shape2_	black_	clockwise_	loc1_	notarget_	correct_or_press	block2_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc1_
7	1	2	131	2	2	1	0	3	0	1	212210103	block2_	disappearance_	shape2_	white_	clockwise_	loc3_	notarget_	correct_or_press	block2_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc3_
8	1	2	103	1	1	2	1	3	14	1	211121103	block2_	disappearance_	shape1_	black_	counterclockwise_	loc3_	istarget_	correct_or_press	block2_disappearance_shape1_black_counterclockwise_istarget_correct_or_pressloc3_
9	1	2	101	1	1	2	0	1	0	1	211120101	block2_	disappearance_	shape1_	black_	counterclockwise_	loc1_	notarget_	correct_or_press	block2_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc1_
10	1	2	105	1	1	1	0	1	0	1	211110101	block2_	disappearance_	shape1_	black_	clockwise_	loc1_	notarget_	correct_or_press	block2_disappearance_shape1_black_clockwise_notarget_correct_or_pressloc1_
11	1	2	122	2	1	1	0	2	0	1	212110102	block2_	disappearance_	shape2_	black_	clockwise_	loc2_	notarget_	correct_or_press	block2_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc2_
12	1	2	125	2	2	2	0	1	0	1	212220101	block2_	disappearance_	shape2_	white_	counterclockwise_	loc1_	notarget_	correct_or_press	block2_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc1_
13	1	2	110	1	2	2	0	2	0	1	211220102	block2_	disappearance_	shape1_	white_	counterclockwise_	loc2_	notarget_	correct_or_press	block2_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc2_
14	1	2	121	2	1	1	0	1	0	1	212110101	block2_	disappearance_	shape2_	black_	clockwise_	loc1_	notarget_	correct_or_press	block2_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc1_
15	1	2	102	1	1	2	0	2	0	1	211120102	block2_	disappearance_	shape1_	black_	counterclockwise_	loc2_	notarget_	correct_or_press	block2_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc2_
16	1	2	109	1	2	2	1	1	15	1	211221101	block2_	disappearance_	shape1_	white_	counterclockwise_	loc1_	istarget_	correct_or_press	block2_disappearance_shape1_white_counterclockwise_istarget_correct_or_pressloc1_
17	1	2	106	1	1	1	0	2	0	1	211110102	block2_	disappearance_	shape1_	black_	clockwise_	loc2_	notarget_	correct_or_press	block2_disappearance_shape1_black_clockwise_notarget_correct_or_pressloc2_
18	1	2	109	1	2	2	0	1	0	1	211220101	block2_	disappearance_	shape1_	white_	counterclockwise_	loc1_	notarget_	correct_or_press	block2_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc1_
19	1	2	128	2	2	2	0	4	0	1	212220104	block2_	disappearance_	shape2_	white_	counterclockwise_	loc4_	notarget_	correct_or_press	block2_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc4_
