	trial_type	block_num	trialID	shape	colour	direction	istarget	start_loc	target_position	accuracy_or_button	unique_ID	block_num_mod	trial_type_mod	shape_mod	colour_mod	direction_mod	start_loc_mod	istarget_mod	accuracy_or_button_mod	condition_name
0	1	4	105	1	1	1	0	1	0	0	411110001	block4_	disappearance_	shape1_	black_	clockwise_	loc1_	notarget_	incorrect_or_nopress	block4_disappearance_shape1_black_clockwise_notarget_incorrect_or_nopressloc1_
1	1	4	121	2	1	1	0	1	0	1	412110101	block4_	disappearance_	shape2_	black_	clockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc1_
2	1	4	132	2	2	1	0	4	0	1	412210104	block4_	disappearance_	shape2_	white_	clockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc4_
3	1	4	132	2	2	1	0	4	0	1	412210104	block4_	disappearance_	shape2_	white_	clockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc4_
4	1	4	122	2	1	1	0	2	0	1	412110102	block4_	disappearance_	shape2_	black_	clockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc2_
5	1	4	101	1	1	2	0	1	0	1	411120101	block4_	disappearance_	shape1_	black_	counterclockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc1_
6	1	4	102	1	1	2	0	2	0	1	411120102	block4_	disappearance_	shape1_	black_	counterclockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc2_
7	1	4	115	1	2	1	0	3	0	1	411210103	block4_	disappearance_	shape1_	white_	clockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc3_
8	1	4	103	1	1	2	0	3	0	1	411120103	block4_	disappearance_	shape1_	black_	counterclockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc3_
9	1	4	120	2	1	2	0	4	0	1	412120104	block4_	disappearance_	shape2_	black_	counterclockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc4_
10	1	4	107	1	1	1	0	3	0	1	411110103	block4_	disappearance_	shape1_	black_	clockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape1_black_clockwise_notarget_correct_or_pressloc3_
11	1	4	122	2	1	1	0	2	0	1	412110102	block4_	disappearance_	shape2_	black_	clockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc2_
12	1	4	129	2	2	1	0	1	0	1	412210101	block4_	disappearance_	shape2_	white_	clockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc1_
13	1	4	118	2	1	2	0	2	0	1	412120102	block4_	disappearance_	shape2_	black_	counterclockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc2_
14	1	4	130	2	2	1	0	2	0	1	412210102	block4_	disappearance_	shape2_	white_	clockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc2_
15	1	4	113	1	2	1	0	1	0	1	411210101	block4_	disappearance_	shape1_	white_	clockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc1_
